Leitao,Leitao,
La Grande Boucherie,NF,
Counter & Bodega,Counter & Bodega,
Loulou Petit Bistro & Speakeasy,NF,
Chama Mama,Chama Mama,
Jack's Wife Freda,Jack'S Wife Freda,
Coppelia,NF,
Hao Noodle Chelsea,NF,
Very Fresh Noodles,Very Fresh Noodles,
NBetween,NF,
The Canuck,The Canuck,
Lulla,Lulla,
Buddakan,Buddakan,
The Mermaid Inn - Chelsea,NF,
Sappe,Sappe,
The Wilson,The Wilson,
Citizens Of Chelsea,Citizens Of Chelsea,
The Warren,The Warren,
The Folly,The Folly,
Shuka,Shuka,
Blue Ribbon Brasserie,NF,
Sartiano's,Sartiano'S,
Mareluna,Mareluna,
Lava Shawarma,NF,
Carbone,Carbone,
Dante,Dante,
Da Toscano,Da Toscano,
Boqueria Soho,NF,
Balthazar,NF,
Milady’s,NF,
Piccola Cucina Osteria,Piccola Cucina Osteria,
Pommes Frites,Pommes Frites,
Yakiniku Futago Soho,NF,
Chow House 德悦轩,NF,
Blue Ribbon Sushi,Blue Ribbon Sushi,
Prince Street Pizza,NF,
Tucci,NF,
DOMODOMO - New York,NF,
La Lanterna Di Vittorio,La Lanterna Di Vittorio,
Ways & Means,NF,
Carroll Place,Carroll Place,
The Corner Store,NF,
Balzem,Balzem,
La Pecora Bianca SoHo,NF,
Little Ruby's Cafe - Soho,NF,
12 Chairs,NF,
La Sirene,NF,
Bar Tulix,Bar Tulix,
Los Tacos No.1,Los Tacos No.1,
Anejo Tribeca,Anejo Tribeca,
Macao Trading Company,NF,
Beefbar,NF,
Lucia of Soho,NF,
A Pasta Bar,A Pasta Bar,
Paros,Paros,
Little Ways,Little Ways,
Smith & Mills,Smith & Mills,
Pepolino Restaurant,NF,
Locanda Verde,Locanda Verde,
Black Burger,NF,
Zutto Japanese American Pub,Zutto Japanese American Pub,
Walker's,NF,
Filé Gumbo Bar,NF,
Despaña Fine Foods & Tapas Cafe,NF,
Bubby's Tribeca,NF,
Gotan - Tribeca,NF,
Maison Close Restaurant,Maison Close Restaurant,
Betong - Khao Man Gai,NF,
Soho Diner,Soho Diner,
Casa Carmen,Casa Carmen,
The Tyger,NF,
Mishik,NF,
Brandy Library,NF,
City Vineyard,City Vineyard,
Toad Hall,Toad Hall,
While We Were Young,NF,
L'Artusi,L'Artusi,
Bird Dog,Bird Dog,
Little Ruby's West Village,NF,
B'artusi,NF,
JeJu Noodle Bar,Jeju Noodle Bar,
Buvette,Buvette,
Boucherie West Village,NF,
Ambra,Ambra,
Little Owl,NF,
Employees Only,NF,
Sip & Guzzle,Sip & Guzzle,
Katana Kitten,Katana Kitten,
Dante West Village,Dante West Village,
Lelabar,Lelabar,
Bird Dog Cafe,NF,
Balaboosta,Balaboosta,
Malatesta Trattoria,NF,
Grove Street Social,NF,
L'Accolade,L'Accolade,
Via Carota,Via Carota,
Top Thai Vintage,NF,
Mémé Mediterranean,NF,
Hudson Clearwater,Hudson Clearwater,
The Lavaux,NF,
Libertine,Libertine,
Emily - West Village,NF,
The Golden Swan,The Golden Swan,
Berimbau Brazilian Kitchen - West Village,NF,
The Mary Lane,The Mary Lane,
L’industrie Pizzeria,NF,
Malaparte,Malaparte,
The Spaniard,The Spaniard,
Ciccio Cincin,Ciccio Cincin,
Park Avenue Tavern,Park Avenue Tavern,
The Flying Cock,NF,
Shokudo 34,NF,
Aunt Bernie's Bar and Jardin,NF,
Albert's Bar,Albert'S Bar,
Bubo,Bubo,
Le Parisien,Le Parisien,
Çka Ka Qëllu - Manhattan,NF,
Ted's Corner Tavern,Ted'S Corner Tavern,
The Flatiron Room Murray Hill,NF,
