name,tag_type,Service_Tags
Nofar Method,tag1,Pilates
Krav Maga Institute,tag1,Martial Arts
F45 Training,tag1,Circuit Training Gyms
Sage Fitness,tag1,Pilates
Xtreme Gym,tag1,Gyms
Z Club NY,tag1,Dance Studios
Sky Health NYC,tag1,Trainers
LA Fit Training,tag1,Gyms
Beyond Fitness,tag1,Trainers
Crunch Fitness - FiDi,tag1,Gyms
Life Time One Wall Street,tag1,Gyms
Equinox Wall Street,tag1,Gyms
Sweat W Downtown,tag1,Gyms
NY Fitness,tag1,Trainers
Equinox Brookfield Place,tag1,Gyms
The Terrace Club,tag1,Gyms
Just Train,tag1,Trainers
Planet Fitness,tag1,Gyms
Blink Fitness - FiDi,tag1,Gyms
CompleteBody -  Financial District,tag1,Trainers
Gloveworx,tag1,Boxing
Crunch Fitness - Tribeca,tag1,Gyms
Life Time,tag1,Gyms
The Trinity Boxing Club,tag1,Boxing
Equinox Tribeca,tag1,Gyms
Retro Fitness,tag1,Gyms
Oculus Fitness,tag1,Interval Training Gyms
Sweat440,tag1,Circuit Training Gyms
Asphalt Green - Battery Park City,tag1,Swimming Pools
CrossFit Wall Street,tag1,Interval Training Gyms
Orangetheory Fitness,tag1,Gyms
The Class,tag1,Cardio Classes
Team in Training,tag1,Trainers
Sculpt New York,tag1,Trainers
DanceBody,tag1,Dance Studios
CBXT,tag1,Cardio Classes
NYLO Fitness,tag1,Gyms
SoulCycle Financial District,tag1,Cycling Classes
Pure Barre,tag1,Barre Classes
Church Street Boxing Gym,tag1,Boxing
Square Circle New York,tag1,Martial Arts
ARC Athletics,tag1,Trainers
Krav Maga Institute,tag1,Martial Arts
Fusion Physical Therapy & Sports Performance,tag1,Physical Therapy
LA PALESTRA,tag1,Interval Training Gyms
Community Center At Stuyvesant High School,tag1,Recreation Centers
Jfitnyc,tag1,Trainers
UpFit Training Academy,tag1,Trainers
Tribeca Sports Center,tag1,Trainers
Shape Fitness For Women,tag1,Weight Loss Centers
Bout Fight Club,tag1,Boxing
JDI Barbell TriBeCa,tag1,Gyms
Pliagility,tag1,Trainers
Momentum Fitness,tag1,Physical Therapy
Solidcore - Fidi,tag1,Pilates
Nofar Method,tag1,Pilates
Hydra Studios,tag1,Gyms
SLT Tribeca,tag1,Pilates
Frontline Fitness,tag1,Gyms
Blink Fitness - FiDi,tag1,Gyms
Equinox Tribeca,tag1,Gyms
Life Time One Wall Street,tag1,Gyms
Crunch Fitness - Tribeca,tag1,Gyms
GYM NYC,tag1,Gyms
The Trinity Boxing Club,tag1,Boxing
Crunch Fitness - FiDi,tag1,Gyms
The Terrace Club,tag1,Gyms
The Class,tag1,Cardio Classes
Oculus Fitness,tag1,Interval Training Gyms
Equinox Wall Street,tag1,Gyms
Dogpound,tag1,Trainers
Planet Fitness,tag1,Gyms
Sweat W Downtown,tag1,Gyms
CompleteBody -  Financial District,tag1,Trainers
Fusion Physical Therapy & Sports Performance,tag1,Physical Therapy
Planet Fitness,tag1,Gyms
Equinox Brookfield Place,tag1,Gyms
Krav Maga Institute,tag1,Martial Arts
Church Street Boxing Gym,tag1,Boxing
Just Train,tag1,Trainers
Sweat440,tag1,Circuit Training Gyms
Life Time,tag1,Gyms
Asphalt Green - Battery Park City,tag1,Swimming Pools
